cohort,feature_set,subsample_n,pattern_size,ancestor_size,n_shared,mean_abs_diff
lung,baseline,40000,72,69,69,0.012526479810876607
lung,baseline,40000,72,14,14,0.2545456730375923
lung,baseline,40000,72,14,14,0.18089632546055004
lung,baseline,40000,72,59,59,0.22826607322303608
lung,baseline,40000,72,57,57,0.20742254240277813
lung,baseline,40000,72,70,70,0.017084813836663486
lung,baseline,40000,72,64,64,0.010993495994896808
lung,baseline,40000,72,35,35,0.04406574685653298
lung,baseline,40000,72,71,71,0.004364227412731597
lung,baseline,40000,72,71,71,0.04158467313855186
lung,baseline,40000,72,62,62,0.059472982063049566
lung,baseline,40000,72,70,70,0.027746409737085396
lung,baseline,40000,72,69,69,0.0099504256162917
lung,baseline,40000,72,14,14,0.21835937351222487
lung,baseline,40000,72,66,66,0.01769300233468522
lung,baseline,40000,72,62,62,0.1332175528976178
lung,baseline,40000,72,37,37,0.1823063729904225
lung,baseline,40000,72,35,35,0.16872861992415283
lung,baseline,40000,72,14,14,0.25648825688757554
lung,baseline,40000,72,64,64,0.09439147423326676
lung,baseline,40000,72,40,40,0.04689943185284257
lung,baseline,40000,72,63,63,0.06792351159233048
lung,baseline,40000,72,63,63,0.20655831240003672
lung,baseline,40000,72,33,33,0.1623098914425876
lung,baseline,40000,72,71,71,0.11215000798725006
lung,baseline,40000,72,71,71,0.010956653029104323
lung,baseline,40000,72,65,65,0.018197943709277877
lung,baseline,40000,72,71,71,0.1101215494629443
lung,baseline,40000,72,65,65,0.020911796287559313
lung,baseline,40000,72,64,64,0.037295867431945996
lung,baseline,40000,72,34,34,0.22010087279838444
lung,baseline,40000,72,33,33,0.22549719769369836
lung,baseline,40000,72,19,19,0.2951040703680845
lung,baseline,40000,72,71,71,0.049872599663180556
lung,baseline,40000,72,71,71,0.002484028186135407
lung,baseline,40000,72,65,65,0.02670458104340491
lung,baseline,40000,72,28,28,0.3517415810984827
lung,baseline,40000,72,14,14,0.2136628426140371
lung,baseline,40000,72,47,47,0.2601344108694501
lung,baseline,40000,72,71,71,0.009063878911726433
lung,baseline,40000,72,70,70,0.031159831511463246
lung,baseline,40000,72,69,69,0.010567875581807265
lung,baseline,40000,72,65,65,0.034657769553190276
lung,baseline,40000,72,64,64,0.03129695995733641
lung,baseline,40000,72,67,67,0.10796179730953906
lung,baseline,40000,72,67,67,0.10967703639196072
lung,baseline,40000,72,58,58,0.12988249697455828
lung,baseline,40000,72,53,53,0.0929366846598095
lung,baseline,40000,72,47,47,0.28774996491153926
lung,baseline,40000,72,46,46,0.27792198780247107
lung,baseline,40000,72,28,28,0.42117285337935984
lung,baseline,40000,72,66,66,0.25629179783275213
lung,baseline,40000,72,64,64,0.2046038050901275
lung,baseline,40000,72,70,70,0.012813954087962163
lung,baseline,40000,72,70,70,0.009342406686153703
lung,baseline,40000,72,47,47,0.031086096404330292
lung,baseline,40000,72,70,70,0.010381894629139826
lung,baseline,40000,72,69,69,0.03773220699725086
lung,baseline,40000,72,64,64,0.03150695023424577
lung,baseline,40000,72,62,62,0.02267843295763894
lung,baseline,40000,72,34,34,0.05424806826123113
lung,baseline,40000,72,71,71,0.1286287567149657
lung,baseline,40000,73,68,68,0.1462199343158168
lung,baseline,40000,73,61,61,0.09658013700912198
lung,baseline,40000,73,46,46,0.15452380255830833
lung,baseline,40000,73,72,72,0.007757701253812074
lung,baseline,40000,73,72,72,0.1199445376071767
lung,baseline,40000,73,72,72,0.008333518554563915
lung,baseline,40000,73,72,72,0.028631990876810273
lung,baseline,40000,73,68,68,0.03099377131581234
lung,baseline,40000,73,72,72,0.1049717845405338
lung,baseline,40000,73,66,66,0.018459719477221442
lung,baseline,40000,73,58,58,0.06248388035530044
lung,baseline,40000,73,37,37,0.09487323119315302
lung,baseline,40000,73,36,36,0.07580878297973065
lung,baseline,40000,73,34,34,0.2327770002006165
lung,baseline,40000,73,14,14,0.22532526407675382
lung,baseline,40000,73,64,64,0.01998683776583562
lung,baseline,40000,73,72,72,0.13356943737749255
lung,baseline,40000,73,72,72,0.19852194248054802
lung,baseline,40000,73,67,67,0.13183397307051484
lung,baseline,40000,73,58,58,0.20134022239266305
lung,baseline,40000,73,57,57,0.14166650577172965
lung,baseline,40000,73,72,72,0.01694615635543349
lung,baseline,40000,73,71,71,0.0035081425655996193
lung,baseline,40000,73,70,70,0.03948289803277078
lung,baseline,40000,73,70,70,0.04300856487469573
lung,baseline,40000,73,72,72,0.11414712660990697
lung,baseline,40000,73,72,72,0.1373776187931361
lung,baseline,40000,73,72,72,0.04749354781025666
lung,baseline,40000,73,69,69,0.07999671371388754
lung,baseline,40000,73,61,61,0.03593128510682581
lung,baseline,40000,73,72,72,0.11737886833729225
lung,baseline,40000,73,69,69,0.07029678135116493
lung,baseline,40000,73,72,72,0.11849978574733908
lung,baseline,40000,73,72,72,0.030350372093633345
lung,baseline,40000,73,68,68,0.01479724929280555
lung,baseline,40000,73,14,14,0.26913446153892157
lung,baseline,40000,73,72,72,0.13137616981323114
lung,baseline,40000,73,72,72,0.006973009071278979
lung,baseline,40000,73,71,71,0.013406957360387746
lung,baseline,40000,73,66,66,0.020205253356774717
lung,baseline,40000,73,72,72,0.11478742155492733
lung,baseline,40000,73,72,72,0.027355164499039426
lung,baseline,40000,73,72,72,0.014037116173692053
lung,baseline,40000,73,70,70,0.010530296244293772
lung,baseline,40000,73,68,68,0.03185834317027142
lung,baseline,40000,73,64,64,0.032425754790438646
lung,baseline,40000,73,62,62,0.025290302863091446
lung,baseline,40000,73,14,14,0.21466209126460697
lung,baseline,40000,73,37,37,0.23877413009631662
lung,baseline,40000,73,72,72,0.15881277546695982
lung,baseline,40000,73,72,72,0.10925472664269575
lung,baseline,40000,73,70,70,0.04258198689093922
lung,baseline,40000,73,64,64,0.04421205581522764
lung,baseline,40000,73,72,72,0.061941979969767594
lung,baseline,40000,73,72,72,0.10634846989811458
lung,baseline,40000,73,68,68,0.018847902307689745
lung,baseline,40000,73,72,72,0.1800389483938998
lung,baseline,40000,73,64,64,0.011994662002447677
lung,baseline,40000,73,37,37,0.0462416444266243
lung,baseline,40000,73,35,35,0.04971826490710215
lung,baseline,40000,73,34,34,0.05563434499602512
lung,baseline,40000,73,70,70,0.008029810536784374
lung,baseline,40000,73,68,68,0.10710297138258813
lung,baseline,40000,73,68,68,0.07432875038116085
lung,baseline,40000,73,64,64,0.16209215666768345
